state,district,store_name,address,phone
State,City,Store,Address,Contact
Assam,Bongaigaon,Bongaigaon,"Chapaguri Road, Near Oriental Insurance Company, Opposite Bhartiya Jalpan, Bongaigaon - 783380",03664-225045 / 7002900448
Assam,Dhubri,Dhubri,"Center Point Tower, GTB Road, Panch More, Ward No. 1, Dhubri, PO & Dist - Dhubri (Assam), Pin Code – 783301",0366-2291300 / 8638889346
Assam,Guwahati,Guwahati,"Shivam Commercial Complex, Ward No - 19, Holding No - 11975710, G S Road, Bhangagarh, Guwahati - 781005",0361-2451247 / 7603034823
Assam,Kokrajhar,Kokrajhar,"Ward No. 4, Vivekananda Path, Kokrajhar - 783370",03661-271888 / 271666 / 03661295158
Assam,Silchar,Silchar,"S-40, 2Nd Floor Goldighi Shopping Mall, Premtala, Silchar - 788001",03842-230017
Bihar,Arrah,Arrah,"Lalita Complex, Axis Bank, Jail Road, Arrah, Bihar - 802301",8757883335 / 8083061079
Bihar,Bettiah,Bettiah,"Supriya Road Bettiah, Near St.Joseph School, Infront of Bishop House, Bihar - 845438",7827612577
Bihar,Bhagalpur,Bhagalpur,"Ground & 1st Floor, Triveni Arcade, Patal Babu Road, Mundichak, Near Axis Bank, Bhagalpur, Dist - Bhagalpur, Bihar, Pin - 812002",0641-3500233 / 0641-3500234 / 8969100137
Bihar,Gaya,Gaya,"R J Palace, Beside ICICI Bank, Raikashinath More, Swarajpuri Road, Gaya - 823001",6314006260
Bihar,Muzaffarpur,Muzaffarpur,"Kalam Bagh Road, Muzaffarpur, Bihar - 842001",7605004793
Bihar,Patna 1,Patna 1,"A-3 Commercial Complex, West Boring Canal Road, Near Bharat Petrol Pump, Patna. Pin - 800001",7280030080
Bihar,Patna 2,Patna 2,"Fraser Road, Dack Banglow Chowk, Dhanraj Tower, Near Amity University, Patna, Pin - 800001",7280030060
Chandigarh,Chandigarh,Chandigarh,"SCO 147-148, Sector 17C Bridge Road, Adjoining HDFC Bank, Chandigarh - 160017",01724109043 / 9147106949
Chhattisgarh,AmbikaPur,AmbikaPur,"Ambedkar Chowk, Beside IDBI Bank, Banaras Road, Ambikapur, Surguja, Chhattisgarh, Pin - 497001",9098307200
Chhattisgarh,Bilaspur,Bilaspur,"Beside Union Bank and Amit Sales, KH. No. 730/2, Plot No. 130, Opposite State Bank of India, Shrikant Verma Marg, Bilaspur, Chhattisgarh - 495001",8609166298
Chhattisgarh,Raipur,Raipur,"Raj Plaza, Malviya Road, Swami Vivekanand Ward No. 57, P H No. 106-A, Raipur. Pin - 492001",0771-2220601 / 02
Chhattisgarh,Raipur,Pandri,"Jivan Bima Marg, Main Road Pandri, Raipur, Chhattisgarh - 492004",9147331025 / 7605004796
Delhi,New Delhi,Dwarka,"Shop No. G-14, Hl Wings Pocket - 4, Market, Plot No.-2 (Near Kargil Chowk) Sec-11 Dwarka. New Delhi - 110075",011-45091775 / 45091776 / 7605042553
Delhi,New Delhi,House of Senco - Lajpatnagar,"11/92 A, Plot/ Premises No-A, Lajpat Nagar II, New Delhi, Delhi - 110024",9147078137
Delhi,New Delhi,Lajpatnagar,"K-93A & 93B Veer Savarkar Marg, T-Point, Beside Pnb & Invent Apple Store, Lajpatnagar, New Delhi - 110024",011-4241-4500 / 42414502
Delhi,New Delhi,Pitampura,"GD 27, Near Metro Pillar No. 364, Pitampura, New Delhi - 110034",1145521185 / 7596044530
